Name,Type,Extensions,Reference,Source
"1C Enterprise","programming",".bsl .os","https://github.com/search?q=language%3A%221C%20Enterprise%22&type=repositories","linguist"
"2-Dimensional Array","data",".2da","https://github.com/search?q=language%3A%222-Dimensional%20Array%22&type=repositories","linguist"
"4D","programming",".4dm","https://github.com/search?q=language%3A%224D%22&type=repositories","linguist"
"ABAP","programming",".abap","https://community.sap.com/topics/abap","linguist"
"ABAP CDS","programming",".asddls","https://github.com/search?q=language%3A%22ABAP%20CDS%22&type=repositories","linguist"
"ABNF","data",".abnf","https://github.com/search?q=language%3A%22ABNF%22&type=repositories","linguist"
"ActionScript","programming",".as","https://github.com/search?q=language%3A%22ActionScript%22&type=repositories","linguist"
"Ada","programming",".adb .ada .ads","https://ada-lang.io","linguist"
"Adblock Filter List","data",".txt","https://github.com/search?q=language%3A%22Adblock%20Filter%20List%22&type=repositories","linguist"
"Adobe Font Metrics","data",".afm","https://github.com/search?q=language%3A%22Adobe%20Font%20Metrics%22&type=repositories","linguist"
"Agda","programming",".agda","https://wiki.portal.chalmers.se/agda/pmwiki.php","linguist"
"AGS Script","programming",".asc .ash","https://github.com/search?q=language%3A%22AGS%20Script%22&type=repositories","linguist"
"AIDL","programming",".aidl","https://github.com/search?q=language%3A%22AIDL%22&type=repositories","linguist"
"Aiken","programming",".ak","https://github.com/search?q=language%3A%22Aiken%22&type=repositories","linguist"
"AL","programming",".al","https://github.com/search?q=language%3A%22AL%22&type=repositories","linguist"
"Aleo","programming",".aleo","https://github.com/search?q=language%3A%22Aleo%22&type=repositories","linguist"
"ALGOL","programming",".alg","https://en.wikipedia.org/wiki/ALGOL","linguist"
"Alice","curated","","https://www.alice.org","curated"
"Alloy","programming",".als","https://github.com/search?q=language%3A%22Alloy%22&type=repositories","linguist"
"Alpine Abuild","programming","","https://github.com/search?q=language%3A%22Alpine%20Abuild%22&type=repositories","linguist"
"Altium Designer","data",".OutJob .PcbDoc .PrjPCB .SchDoc","https://github.com/search?q=language%3A%22Altium%20Designer%22&type=repositories","linguist"
"Amaranth HDL","curated","","https://amaranth-lang.org","curated"
